title,category,date,start_time,end_time,location,address,description,price,max_attendees,registration_required,neighborhoods,villages,website_link
Dorchester Winter Farmers Market,Community,2026-02-07,11:00,14:00,The Great Hall,"6 Norfolk St, Dorchester, MA 02124","Weekly farmers market with local produce, baked goods, crafts",0,,No,Dorchester,,https://dorchesterwinterfarmersmarket.org/
Dorchester Winter Farmers Market,Community,2026-02-14,11:00,14:00,The Great Hall,"6 Norfolk St, Dorchester, MA 02124","Weekly farmers market with local produce, baked goods, crafts",0,,No,Dorchester,,https://dorchesterwinterfarmersmarket.org/
Dorchester Winter Farmers Market,Community,2026-02-21,11:00,14:00,The Great Hall,"6 Norfolk St, Dorchester, MA 02124","Weekly farmers market with local produce, baked goods, crafts",0,,No,Dorchester,,https://dorchesterwinterfarmersmarket.org/
Dorchester Winter Farmers Market,Community,2026-02-28,11:00,14:00,The Great Hall,"6 Norfolk St, Dorchester, MA 02124","Weekly farmers market with local produce, baked goods, crafts",0,,No,Dorchester,,https://dorchesterwinterfarmersmarket.org/
Dorchester Winter Farmers Market,Community,2026-03-07,11:00,14:00,The Great Hall,"6 Norfolk St, Dorchester, MA 02124","Weekly farmers market with local produce, baked goods, crafts",0,,No,Dorchester,,https://dorchesterwinterfarmersmarket.org/
Dorchester Winter Farmers Market,Community,2026-03-14,11:00,14:00,The Great Hall,"6 Norfolk St, Dorchester, MA 02124","Weekly farmers market with local produce, baked goods, crafts",0,,No,Dorchester,,https://dorchesterwinterfarmersmarket.org/
Hippie Hour w/ Owsley's Owls,Music,2026-02-06,18:30,,Midway Cafe,"3496 Washington St, Jamaica Plain, MA 02130",Live music with Owsley's Owls,0,,No,Jamaica Plain,,https://allevents.in/jamaica-plain/music--february
The Lovers Market,Market,2026-02-07,12:00,,"1310 Dorchester Ave, Dorchester Center, MA 02125",Local vendor market with crafts and goods,0,,No,Dorchester,Jamaica Plain,https://allevents.in/jamaica-plain/music--february
SMELL THE LOVE - Fundraiser,Music/Charity,2026-02-14,19:00,,Midway Cafe,"3496 Washington St, Jamaica Plain, MA 02130",Valentines fundraiser for JP Music Festival,0,,No,Jamaica Plain,,https://allevents.in/jamaica-plain/music--february
Roland High Life + Bands,Music,2026-02-18,19:00,,Midway Cafe,"3496 Washington St, Jamaica Plain, MA 02130",Live music with multiple bands,0,,No,Jamaica Plain,,https://allevents.in/jamaica-plain/music--february
Diamond Blues Tribute Night,Music,2026-02-25,19:30,,Midway Cafe,"3496 Washington St, Jamaica Plain, MA 02130",Tribute performance to the JGB blues band,0,,No,Jamaica Plain,,https://allevents.in/jamaica-plain/music--february
Mastadonis Presents The Office Hour,Music,2026-02-26,20:00,,Freedom House,"10 James St, Jamaica Plain, MA 02130",Live event presented by Mastadonis,0,,No,Jamaica Plain,,https://allevents.in/jamaica-plain/music--february
Okra Dance Company Performance,Performance,2026-02-20,10:30,12:00,Dorchester Public Library,Address TBD,Dancing Journey of Africans in America performance (Black History Month),0,,No,Dorchester,,https://dotnews.com/upcoming-civic-meetings-and-community-events-0-3/
Cellist & Pianist Concert,Music,2026-02-16,16:00,18:00,Peabody Hall,"209 Ashmont St, Dorchester, MA 02124",Ashmont Hill Chamber Music concert featuring Gabriel Cabezas & Natalia Kazaryan,0,,No,Dorchester,,https://dotnews.com/upcoming-civic-meetings-and-community-events-0-3/
Hidden History of Black Boston (Mattapan),Talk,2026-03-01,14:00,16:00,Mattapan BPL Branch,"1350 Blue Hill Ave, Mattapan, MA 02126",Talk on Hidden History of Black Boston,0,,No,Mattapan,,https://dotnews.com/upcoming-civic-meetings-and-community-events-0-3/
Shade Fest Kiki Ball,Party,2026-02-27,19:00,,"555 Amory St, Jamaica Plain, MA 02130",Annual shade ball & dance event,0,,No,Jamaica Plain,,https://allevents.in/jamaica-plain/music--february
Galentine's Wine & Chocolate Tour,Party,2026-02-12,17:00,,"670 Centre St Ste 7, Jamaica Plain, MA 02130",Galentine's celebration with wine & chocolate,0,,No,Jamaica Plain,,
Pop Star Drag Brunch,Party,2026-02-01,11:00,,"1310 Dorchester Ave, Dorchester Center, MA 02125",Drag brunch with pop music & entertainment,0,,No,Dorchester,Jamaica Plain,
